,area_type,availability,location,total_sqft,bath,balcony,price,Number_of_Bedrooms,total_sqm,Dollar_Price,price_per_sqm,neighborhood
2269,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1140,2.0,2.0,39.0,2,105.90942,47728.2,450.6511318823198,Tier 4
2270,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1187,2.0,2.0,40.14,2,110.275861,49123.332,445.45861219800406,Tier 4
2271,Super built-up  Area,Ready To Move,Haralur Road,1560,3.0,1.0,90.0,3,144.92867999999999,110142.0,759.9738022867524,Tier 2
2272,Super built-up  Area,Ready To Move,Nagappa Reddy Layout,1209,2.0,1.0,50.0,2,112.319727,61190.0,544.7840876607544,Tier 4
2273,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1570,3.0,2.0,88.0,3,145.85771,107694.4,738.3524669350697,Tier 2
2274,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1235,2.0,1.0,75.0,2,114.735205,91785.0,799.9724234597394,Tier 2
2275,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1525,2.0,2.0,99.13,3,141.677075,121315.294,856.2803403444065,Tier 2
2276,Built-up  Area,Ready To Move,Aishwarya Crystal Layout,1053,2.0,0.0,51.0,2,97.826859,62413.799999999996,638.002698216039,Tier 3
2277,Super built-up  Area,Ready To Move,Aishwarya Crystal Layout,2250,3.0,1.0,113.0,3,209.03175,138289.4,661.5712684795492,Tier 3
2278,Super built-up  Area,Ready To Move,Hennur Road,1065,2.0,1.0,42.6,2,98.941695,52133.88,526.9151695854816,Tier 4
2279,Super built-up  Area,Ready To Move,Hennur Road,1085,2.0,1.0,43.4,2,100.799755,53112.92,526.9151695854816,Tier 4
2280,Super built-up  Area,Ready To Move,Balaji Gardens Layout,1051,2.0,1.0,33.0,2,97.641053,40385.4,413.61086099716687,Tier 4
2281,Built-up  Area,Ready To Move,Dodda Nekkundi,1145,2.0,1.0,46.5,2,106.373935,56906.7,534.9684582036003,Tier 4
2282,Built-up  Area,Ready To Move,Neeladri Nagar,640,1.0,1.0,20.5,1,59.45792,25087.899999999998,421.9437881446239,Tier 4
2283,Super built-up  Area,Ready To Move,Neeladri Nagar,674,1.0,1.0,21.0,1,62.616622,25699.8,410.4309555376526,Tier 4
2284,Super built-up  Area,Ready To Move,Bannerghatta Road,1136,2.0,1.0,48.0,2,105.537808,58742.399999999994,556.6005312522693,Tier 3
2285,Super built-up  Area,Ready To Move,Bannerghatta Road,1012,2.0,1.0,45.0,2,94.017836,55071.0,585.7505590747696,Tier 3
2286,Super built-up  Area,Ready To Move,Bannerghatta Road,1535,3.0,3.0,60.0,3,142.60610499999999,73428.0,514.9008171845098,Tier 4
2287,Super built-up  Area,Ready To Move,Bannerghatta Road,1630,3.0,3.0,68.0,3,151.43189,83218.4,549.5434284020359,Tier 4
2288,Built-up  Area,Ready To Move,Bannerghatta Road,912,2.0,1.0,55.0,2,84.727536,67309.0,794.4170594079355,Tier 2
2289,Super built-up  Area,Ready To Move,Whitefield,3252,4.0,1.0,230.0,4,302.120556,281474.0,931.661200835338,Tier 1
2291,Super built-up  Area,Ready To Move,Whitefield,2901,4.0,2.0,190.0,3,269.511603,232522.0,862.7532076977035,Tier 2
2292,Super built-up  Area,Not Ready,Hoodi,1447,3.0,2.0,76.0,2,134.430641,93008.8,691.872026408027,Tier 2
2293,Super built-up  Area,Ready To Move,Kanakpura Road,1420,3.0,3.0,68.0,3,131.92226,83218.4,630.8139354192385,Tier 3
2294,Super built-up  Area,Ready To Move,Kanakpura Road,1220,2.0,2.0,60.0,2,113.34166,73428.0,647.8465199821495,Tier 3
2295,Super built-up  Area,Ready To Move,Kanakpura Road,1610,3.0,3.0,78.5,3,149.57383,96068.3,642.2801368394458,Tier 3
2296,Super built-up  Area,Ready To Move,Chandapura,1065,2.0,1.0,33.0,3,98.941695,40385.4,408.1737229183309,Tier 4
2297,Super built-up  Area,Not Ready,Gattahalli,1240,2.0,1.0,63.0,3,115.19972,77099.4,669.2672516912367,Tier 3
2298,Super built-up  Area,Not Ready,Mailasandra,999,2.0,1.0,43.66,2,92.810097,53431.10799999999,575.7036112137669,Tier 3
2299,Built-up  Area,Ready To Move,Bagalur,1200,2.0,3.0,50.0,2,111.4836,61190.0,548.86996831821,Tier 4
2300,Super built-up  Area,Ready To Move,Bagalur,985,2.0,2.0,57.0,2,91.509455,69756.59999999999,762.2884433089454,Tier 2
2301,Built-up  Area,Ready To Move,Koramangala,1350,2.0,2.0,103.0,2,125.41905,126051.4,1005.0418975426779,Tier 1
2302,Super built-up  Area,Ready To Move, Devarachikkanahalli,1700,3.0,1.0,71.0,3,157.9351,86889.8,550.161427067194,Tier 4
2303,Super built-up  Area,Ready To Move,Bommasandra,1014,2.0,1.0,35.0,2,94.203642,42833.0,454.6851808553219,Tier 4
2304,Super built-up  Area,Ready To Move,Hormavu,1350,2.0,2.0,45.0,2,125.41905,55071.0,439.095974654568,Tier 4
2305,Super built-up  Area,Ready To Move,Uttarahalli,1390,2.0,2.0,61.16,3,129.13517,74847.608,579.6066865440298,Tier 3
2306,Plot  Area,Ready To Move,Tindlu,1500,2.0,1.0,87.0,3,139.3545,106470.59999999999,764.0269958989483,Tier 2
2307,Plot  Area,Ready To Move,Tindlu,1500,3.0,1.0,87.0,3,139.3545,106470.59999999999,764.0269958989483,Tier 2
2309,Super built-up  Area,Ready To Move,Akshaya Nagar,2061,3.0,1.0,200.0,3,191.473083,244760.0,1278.2997806537642,Tier 1
2310,Super built-up  Area,Ready To Move,Akshaya Nagar,2061,3.0,3.0,175.0,3,191.473083,214165.0,1118.5123080720437,Tier 1
2311,Super built-up  Area,Ready To Move,Akshaya Nagar,2061,4.0,2.0,175.0,3,191.473083,214165.0,1118.5123080720437,Tier 1
2312,Super built-up  Area,Ready To Move,Bannerghatta Road,1200,2.0,2.0,75.0,2,111.4836,91785.0,823.304952477315,Tier 2
2315,Super built-up  Area,Not Ready,Bannerghatta Road,595,1.0,1.0,33.32,1,55.277285,40777.015999999996,737.6812374196742,Tier 2
2316,Super built-up  Area,Not Ready,Bannerghatta Road,1179,2.0,1.0,66.02,2,109.532637,80795.276,737.6365457174194,Tier 2
2317,Super built-up  Area,Not Ready,Bannerghatta Road,595,1.0,1.0,31.83,1,55.277285,38953.554,704.6936910884823,Tier 2
2318,Super built-up  Area,Not Ready,Bannerghatta Road,1486,3.0,1.0,83.22,3,138.053858,101844.636,737.7166960448146,Tier 2
2319,Super built-up  Area,Not Ready,Bannerghatta Road,1693,3.0,2.0,89.0,3,157.284779,108918.2,692.4904030287636,Tier 2
2320,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1180,2.0,2.0,72.0,2,109.62554,88113.59999999999,803.7689027575143,Tier 2
2321,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1000,2.0,2.0,53.0,2,92.903,64861.399999999994,698.162599700763,Tier 2
2322,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1200,2.0,2.0,62.5,2,111.4836,76487.5,686.0874603977626,Tier 3
2323,Built-up  Area,Ready To Move,Sarjapur  Road,1495,2.0,0.0,64.0,3,138.889985,78323.2,563.9225895229234,Tier 3
2324,Super built-up  Area,Ready To Move,Doddathoguru,984,2.0,1.0,51.0,2,91.416552,62413.799999999996,682.7406922982613,Tier 3
2326,Super built-up  Area,Ready To Move,Sultan Palaya,1100,2.0,2.0,40.0,2,102.1933,48952.0,479.01379053225605,Tier 4
2327,Built-up  Area,Ready To Move,Varthur,1160,2.0,2.0,44.0,2,107.76748,53847.2,499.6609366758877,Tier 4
2328,Super built-up  Area,Not Ready,Varthur,1085,2.0,1.0,45.0,2,100.799755,55071.0,546.3406136254994,Tier 4
2329,Super built-up  Area,Ready To Move,Akshaya Nagar,1476,3.0,1.0,120.0,3,137.124828,146856.0,1070.9657918404098,Tier 1
2330,Super built-up  Area,Ready To Move,Akshaya Nagar,1720,3.0,1.0,134.0,3,159.79316,163989.19999999998,1026.259196576374,Tier 1
2331,Plot  Area,Ready To Move,Himagiri Meadows,1240,4.0,1.0,180.0,3,115.19972,220284.0,1912.1921476892478,Tier 1
2332,Super built-up  Area,Not Ready,Balagere,1590,3.0,2.0,79.0,3,147.71577,96680.2,654.5015471266203,Tier 3
2333,Super built-up  Area,Not Ready,Balagere,1145,2.0,2.0,65.0,2,106.373935,79547.0,747.8053716824521,Tier 2
2334,Super built-up  Area,Ready To Move,Varthur,1091,2.0,1.0,34.9,2,101.357173,42710.619999999995,421.3872460708824,Tier 4
2335,Super built-up  Area,Ready To Move,Varthur,1091,2.0,1.0,32.0,2,101.357173,39161.6,386.37226000768584,Tier 4
2336,Super built-up  Area,Not Ready,Varthur,1097,2.0,1.0,33.82,2,101.914591,41388.916,406.1137428300134,Tier 4
2337,Super built-up  Area,Ready To Move,Varthur,1091,2.0,1.0,33.82,2,101.357173,41388.916,408.347182295623,Tier 4
2338,Super built-up  Area,Ready To Move,Varthur,986,2.0,1.0,30.0,2,91.602358,36714.0,400.7975427881453,Tier 4
2339,Super built-up  Area,Ready To Move,Varthur,986,2.0,1.0,31.0,2,91.602358,37937.799999999996,414.1574608810834,Tier 4
2340,Super built-up  Area,Not Ready,Byatarayanapura,650,1.0,1.0,50.0,1,60.38695,61190.0,1013.2984030490031,Tier 1
2341,Super built-up  Area,Ready To Move,Gottigere,1075,2.0,2.0,30.0,2,99.870725,36714.0,367.6152345945221,Tier 4
2342,Built-up  Area,Ready To Move,KR Puram,1035,2.0,1.0,40.5,2,96.154605,49563.9,515.4604919857973,Tier 4
2343,Super built-up  Area,Ready To Move,KR Puram,1040,2.0,2.0,50.0,2,96.61912,61190.0,633.311501905627,Tier 3
2345,Super built-up  Area,Not Ready,9th Phase JP Nagar,1466,2.0,2.0,71.0,2,136.195798,86889.8,637.9770982361732,Tier 3
2346,Super built-up  Area,Ready To Move,9th Phase JP Nagar,1719.3,2.0,2.0,88.0,3,159.7281279,107694.4,674.235661657686,Tier 3
2347,Super built-up  Area,Not Ready,9th Phase JP Nagar,1780,3.0,2.0,88.0,3,165.36734,107694.4,651.2434680269997,Tier 3
2348,Super built-up  Area,Ready To Move,9th Phase JP Nagar,1331.95,2.0,2.0,69.0,2,123.74215085,84442.2,682.4044953151063,Tier 3
2349,Super built-up  Area,Ready To Move,6th Phase JP Nagar,1192,2.0,2.0,74.0,2,110.740376,90561.2,817.7794158835076,Tier 2
2350,Super built-up  Area,Ready To Move,6th Phase JP Nagar,1810,3.0,3.0,131.0,3,168.15443,160317.8,953.3962322610233,Tier 1
2351,Super built-up  Area,Ready To Move,6th Phase JP Nagar,1192,2.0,3.0,75.0,2,110.740376,91785.0,828.8304890711225,Tier 2
2352,Super built-up  Area,Ready To Move,6th Phase JP Nagar,1280,2.0,1.0,88.0,2,118.91584,107694.4,905.6354477250464,Tier 1
2353,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1513,2.0,3.0,62.0,2,140.562239,75875.59999999999,539.8007355304007,Tier 4
2354,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1510,2.0,3.0,80.0,2,140.28353,97904.0,697.9008868681875,Tier 2
2355,Built-up  Area,Ready To Move,Kasavanhalli,1717,3.0,3.0,99.0,3,159.514451,121156.2,759.5311850460495,Tier 2
2356,Built-up  Area,Ready To Move,Kasavanhalli,1495,2.0,2.0,83.0,2,138.889985,101575.4,731.3371082875414,Tier 2
2357,Super built-up  Area,Ready To Move,Kasavanhalli,1200,2.0,1.0,78.0,2,111.4836,95456.4,856.2371505764077,Tier 2
2358,Super built-up  Area,Ready To Move,Kasavanhalli,1476,3.0,1.0,95.0,3,137.124828,116261.0,847.8479185403244,Tier 2
2359,Super built-up  Area,Ready To Move,Kasavanhalli,1375,2.0,1.0,78.0,2,127.741625,95456.4,747.2615132303193,Tier 2
2360,Super built-up  Area,Ready To Move,Kasavanhalli,1476,3.0,0.0,105.0,3,137.124828,128499.0,937.0950678603585,Tier 1
2361,Super built-up  Area,Ready To Move,Kasavanhalli,1495,2.0,2.0,110.0,2,138.889985,134618.0,969.2419507425248,Tier 1
2362,Super built-up  Area,Ready To Move,Kasavanhalli,1715,3.0,3.0,112.0,3,159.328645,137065.6,860.2696646293579,Tier 2
2363,Super built-up  Area,Ready To Move,Kasavanhalli,1377,2.0,2.0,80.0,2,127.927431,97904.0,765.3088882868288,Tier 2
2364,Built-up  Area,Ready To Move,Shivaji Nagar,2176,3.0,3.0,348.0,3,202.156928,425882.39999999997,2106.6920842801883,Tier 1
2366,Built-up  Area,Ready To Move,HMT Layout,1105,2.0,2.0,58.0,2,102.657815,70980.4,691.4271456099079,Tier 2
2367,Super built-up  Area,Ready To Move,HBR Layout,1656,3.0,2.0,90.0,3,153.847368,110142.0,715.917349980274,Tier 2
2369,Super built-up  Area,Ready To Move,Kasavanhalli,1563.05,3.0,1.0,105.0,3,145.21203415,128499.0,884.9059979923159,Tier 2
2370,Super built-up  Area,Ready To Move,Kasavanhalli,1476,3.0,0.0,89.0,3,137.124828,108918.2,794.2996289483038,Tier 2
2371,Super built-up  Area,Ready To Move,Sahakara Nagar,1914,3.0,3.0,179.0,3,177.816342,219060.19999999998,1231.9463865700263,Tier 1
2372,Super built-up  Area,Ready To Move,Sahakara Nagar,1500,3.0,2.0,125.0,3,139.3545,152975.0,1097.73993663642,Tier 1
2373,Super built-up  Area,Ready To Move,Sahakara Nagar,1914,3.0,2.0,149.0,3,177.816342,182346.19999999998,1025.474925133709,Tier 1
2374,Super built-up  Area,Ready To Move,Akshayanagara East,1230,2.0,1.0,50.0,2,114.27069,61190.0,535.4828959202049,Tier 4
2375,Super built-up  Area,Ready To Move,Tala Cauvery Layout,1580,3.0,3.0,100.0,3,146.78674,122380.0,833.726534154243,Tier 2
2376,Built-up  Area,Ready To Move,Amco Colony,1760,3.0,2.0,88.0,3,163.50928,107694.4,658.643961981852,Tier 3
2377,Built-up  Area,Ready To Move,Outer Ring Road East,1367,2.0,2.0,62.0,2,126.998401,75875.59999999999,597.4531915563251,Tier 3
2378,Built-up  Area,Ready To Move,Outer Ring Road East,1367,2.0,2.0,62.0,2,126.998401,75875.59999999999,597.4531915563251,Tier 3
2379,Built-up  Area,Ready To Move,Whitefield,1270,2.0,2.0,65.0,3,117.98681,79547.0,674.2024807688249,Tier 3
2380,Super built-up  Area,Ready To Move,RMV Extension,2000,3.0,1.0,175.0,3,185.806,214165.0,1152.626933468241,Tier 1
2381,Super built-up  Area,Ready To Move,Kengeri Satellite Town,890,2.0,1.0,35.0,2,82.68367,42833.0,518.0345768396588,Tier 4
2382,Super built-up  Area,Ready To Move,Horamavu Agara,1364,2.0,3.0,50.0,3,126.719692,61190.0,482.8768049720323,Tier 4
2383,Built-up  Area,Ready To Move,Srirampura,1230,2.0,3.0,55.0,2,114.27069,67309.0,589.0311855122254,Tier 3
2384,Built-up  Area,Ready To Move,KR Puram,1000,2.0,1.0,44.5,2,92.903,54459.1,586.1931261638483,Tier 3
2385,Built-up  Area,Not Ready,Yelahanka,1847,3.0,3.0,92.0,3,171.591841,112589.59999999999,656.1477477242056,Tier 3
2386,Super built-up  Area,Not Ready,Yelahanka,1519,2.0,3.0,65.0,2,141.119657,79547.0,563.684760089801,Tier 3
2387,Super built-up  Area,Ready To Move,Yelahanka,1285,2.0,2.0,56.0,2,119.380355,68532.8,574.071001883015,Tier 3
2388,Built-up  Area,Ready To Move,KR Puram,930,2.0,2.0,39.0,2,86.39979,47728.2,552.411064888005,Tier 3
2389,Built-up  Area,Ready To Move,KR Puram,750,2.0,0.0,40.0,2,69.67725,48952.0,702.5535594473089,Tier 2
2390,Super built-up  Area,Ready To Move,KR Puram,1100,2.0,2.0,43.0,2,102.1933,52623.4,514.9398248221753,Tier 4
2391,Super built-up  Area,Ready To Move,KR Puram,950,2.0,1.0,40.0,2,88.25785,48952.0,554.6475469320859,Tier 3
2392,Built-up  Area,Ready To Move,Sanne Amanikere,1455,2.0,1.0,45.0,3,135.173865,55071.0,407.40863627743425,Tier 4
2394,Super built-up  Area,Ready To Move,Sanne Amanikere,655,1.0,2.0,27.0,1,60.851465,33042.6,543.0041823972521,Tier 4
2395,Super built-up  Area,Ready To Move,Jakkur,1300,2.0,1.0,85.0,2,120.7739,104023.0,861.3036425916526,Tier 2
2396,Super built-up  Area,Ready To Move,Jakkur,1645,3.0,1.0,100.0,3,152.825435,122380.0,800.7829325007319,Tier 2
2397,Super built-up  Area,Ready To Move,Jakkur,1650,3.0,2.0,111.0,3,153.28995,135841.8,886.1755124846735,Tier 2
2398,Super built-up  Area,Ready To Move,Jakkur,1202,2.0,1.0,79.0,2,111.669406,96680.2,865.7715972806375,Tier 2
2399,Super built-up  Area,Ready To Move,Jakkur,1290,2.0,1.0,80.04,2,119.84487,97952.952,817.3312049151541,Tier 2
2400,Super built-up  Area,Ready To Move,Jakkur,1291,2.0,1.0,75.0,2,119.93777299999999,91785.0,765.2718380889064,Tier 2
2401,Super built-up  Area,Ready To Move,Jakkur,1473,2.0,1.0,85.0,2,136.846119,104023.0,760.1457809702298,Tier 2
2402,Super built-up  Area,Ready To Move,Jakkur,1432,2.0,1.0,85.0,2,133.037096,104023.0,781.9097314030367,Tier 2
2403,Super built-up  Area,Ready To Move,Judicial Layout,2070,3.0,3.0,162.0,3,192.30921,198255.6,1030.9209839715945,Tier 1
2404,Super built-up  Area,Ready To Move,Judicial Layout,1989,4.0,3.0,155.0,3,184.784067,189689.0,1026.5441338078138,Tier 1
2406,Super built-up  Area,Ready To Move,Gottigere,1200,2.0,2.0,50.0,2,111.4836,61190.0,548.86996831821,Tier 4
2407,Super built-up  Area,Ready To Move,Jigani,1020,2.0,1.0,40.0,2,94.76106,48952.0,516.5834995936094,Tier 4
2408,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1105,2.0,1.0,65.0,2,102.657815,79547.0,774.8752493904142,Tier 2
2409,Super built-up  Area,Ready To Move,8th Phase JP Nagar,871,2.0,2.0,55.0,2,80.918513,67309.0,831.812121905898,Tier 2
2410,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1630,3.0,2.0,60.65,3,151.43189,74223.47,490.1442490085807,Tier 4
2411,Built-up  Area,Ready To Move,Murugeshpalya,3100,4.0,2.0,310.0,4,287.9993,379378.0,1317.287923963704,Tier 1
2412,Super built-up  Area,Ready To Move,Murugeshpalya,2135,3.0,2.0,160.0,3,198.347905,195808.0,987.1946971156565,Tier 1
2413,Super built-up  Area,Ready To Move,Domlur,1050,2.0,2.0,85.0,2,97.54814999999999,104023.0,1066.375938446808,Tier 1
2414,Super built-up  Area,Ready To Move,Domlur,1246,2.0,1.0,95.0,2,115.757138,116261.0,1004.3527510156653,Tier 1
2415,Super built-up  Area,Ready To Move,Domlur,1276,2.0,2.0,80.0,2,118.544228,97904.0,825.885845745269,Tier 2
2417,Built-up  Area,Ready To Move,Yeshwanthpur,1170,2.0,2.0,57.0,2,108.69651,69756.59999999999,641.7556552643686,Tier 3
2418,Built-up  Area,Ready To Move,Yeshwanthpur,1430,3.0,2.0,72.0,3,132.85129,88113.59999999999,663.2498638138928,Tier 3
2419,Built-up  Area,Ready To Move,Yeshwanthpur,1000,2.0,2.0,32.0,2,92.903,39161.6,421.53213566838525,Tier 4
2420,Super built-up  Area,Ready To Move,Yeshwanthpur,2502,3.0,3.0,138.0,3,232.443306,168884.4,726.5616846802204,Tier 2
2421,Super built-up  Area,Ready To Move,Yeshwanthpur,667,1.0,1.0,36.85,1,61.966301,45097.03,727.767016462706,Tier 2
2422,Super built-up  Area,Ready To Move,Yeshwanthpur,665,1.0,1.0,36.85,1,61.780495,45097.03,729.9557894445487,Tier 2
2423,Super built-up  Area,Ready To Move,Yeshwanthpur,1161,2.0,2.0,64.08,2,107.860383,78421.10399999999,727.0612417536103,Tier 2
2424,Super built-up  Area,Ready To Move,Yeshwanthpur,2557,3.0,2.0,141.0,3,237.55297099999999,172555.8,726.3887261591016,Tier 2
2425,Super built-up  Area,Ready To Move,Yeshwanthpur,671,1.0,1.0,36.85,1,62.337913,45097.03,723.428613980067,Tier 2
2426,Super built-up  Area,Ready To Move,Yeshwanthpur,668,1.0,1.0,36.85,1,62.059204,45097.03,726.6775448811751,Tier 2
2427,Super built-up  Area,Ready To Move,Yeshwanthpur,2559,3.0,2.0,141.0,3,237.738777,172555.8,725.8210132039167,Tier 2
2428,Super built-up  Area,Ready To Move,Yeshwanthpur,673,1.0,1.0,36.85,1,62.523719,45097.03,721.278751828566,Tier 2
2430,Super built-up  Area,Ready To Move,Yeshwanthpur,1168,2.0,2.0,64.08,2,108.510704,78421.10399999999,722.7038541746074,Tier 2
2431,Super built-up  Area,Ready To Move,Yeshwanthpur,1382,2.0,2.0,76.18,3,128.391946,93229.084,726.1287557710202,Tier 2
2432,Super built-up  Area,Ready To Move,Yeshwanthpur,669,1.0,1.0,36.85,1,62.152107,45097.03,725.5913303148354,Tier 2
2433,Super built-up  Area,Ready To Move,Yeshwanthpur,1385,2.0,2.0,76.18,3,128.670655,93229.084,724.555913700758,Tier 2
2435,Super built-up  Area,Ready To Move,Yeshwanthpur,670,1.0,1.0,36.85,1,62.24501,45097.03,724.5083581800372,Tier 2
2436,Super built-up  Area,Ready To Move,Yeshwanthpur,1381,2.0,2.0,76.18,3,128.299043,93229.084,726.6545550148803,Tier 2
2438,Super built-up  Area,Ready To Move,Yeshwanthpur,1240,2.0,2.0,80.0,2,115.19972,97904.0,849.8631767507768,Tier 2
2439,Super built-up  Area,Ready To Move,Yeshwanthpur,1144,2.0,2.0,67.0,2,106.281032,81994.59999999999,771.4885568668547,Tier 2
2440,Super built-up  Area,Ready To Move,Yeshwanthpur,2501,3.0,3.0,138.0,3,232.350403,168884.4,726.8521931507044,Tier 2
2441,Super built-up  Area,Ready To Move,Yeshwanthpur,666,1.0,1.0,36.8,1,61.873398,45035.84,727.8708048327974,Tier 2
2442,Super built-up  Area,Ready To Move,Yeshwanthpur,2504,3.0,3.0,138.0,3,232.629112,168884.4,725.9813638458113,Tier 2
2443,Super built-up  Area,Ready To Move,Yeshwanthpur,1165,2.0,1.0,85.0,2,108.231995,104023.0,961.1113608318872,Tier 1
2444,Super built-up  Area,Ready To Move,Yeshwanthpur,1163,2.0,2.0,64.08,2,108.046189,78421.10399999999,725.8109214754442,Tier 2
2445,Super built-up  Area,Ready To Move,Yeshwanthpur,1165,2.0,2.0,64.08,2,108.231995,78421.10399999999,724.564894142439,Tier 2
2446,Super built-up  Area,Ready To Move,Yeshwanthpur,1384,2.0,2.0,76.18,3,128.577752,93229.084,725.0794367597903,Tier 2
2447,Super built-up  Area,Ready To Move,Yeshwanthpur,1167,2.0,2.0,64.08,2,108.417801,78421.10399999999,723.3231376828976,Tier 2
2448,Super built-up  Area,Ready To Move,Yeshwanthpur,1164,2.0,2.0,64.08,2,108.139092,78421.10399999999,725.1873725738328,Tier 2
2449,Super built-up  Area,Ready To Move,Yeshwanthpur,1520,3.0,3.0,85.0,3,141.21256,104023.0,736.6412732691766,Tier 2
2451,Super built-up  Area,Ready To Move,Yeshwanthpur,674,1.0,1.0,36.85,1,62.616622,45097.03,720.2086053124999,Tier 2
2452,Super built-up  Area,Ready To Move,Yeshwanthpur,1383,2.0,2.0,76.18,3,128.484849,93229.084,725.6037169020606,Tier 2
2453,Super built-up  Area,Ready To Move,Yeshwanthpur,672,1.0,1.0,36.85,1,62.430816,45097.03,722.3520833045014,Tier 2
2454,Super built-up  Area,Ready To Move,Yeshwanthpur,1162,2.0,2.0,64.08,2,107.953286,78421.10399999999,726.435543610965,Tier 2
2455,Super built-up  Area,Ready To Move,Yeshwanthpur,1166,2.0,1.0,64.08,2,108.324898,78421.10399999999,723.943483427051,Tier 2
2456,Super built-up  Area,Ready To Move,Yeshwanthpur,1169,2.0,2.0,64.08,2,108.603607,78421.10399999999,722.0856301761689,Tier 2
2457,Super built-up  Area,Ready To Move,Yeshwanthpur,2500,3.0,3.0,138.0,3,232.2575,168884.4,727.1429340279647,Tier 2
2458,Super built-up  Area,Ready To Move,Yeshwanthpur,1160,2.0,2.0,64.08,2,107.76748,78421.10399999999,727.6880186861564,Tier 2
2460,Super built-up  Area,Ready To Move,Yeshwanthpur,2503,3.0,3.0,138.0,3,232.53620899999999,168884.4,726.2714083379591,Tier 2
2462,Plot  Area,Not Ready,Sarjapur,1200,3.0,2.0,76.13,3,111.4836,93167.89399999999,835.7094137613065,Tier 2
2463,Super built-up  Area,Ready To Move,Kammasandra,674,2.0,1.0,33.0,2,62.616622,40385.4,644.962930130597,Tier 3
2464,Super built-up  Area,Ready To Move,Kammasandra,674,2.0,1.0,29.0,2,62.616622,35490.2,566.7856052662821,Tier 3
2465,Built-up  Area,Ready To Move,3rd Block Hrbr Layout,1320,2.0,3.0,90.0,2,122.63195999999999,110142.0,898.1508572479801,Tier 1
2466,Built-up  Area,Ready To Move,3rd Block Hrbr Layout,1300,2.0,3.0,95.0,2,120.7739,116261.0,962.633482896553,Tier 1
2467,Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,1056,2.0,1.0,80.0,2,98.105568,97904.0,997.9453969422,Tier 1
2468,Super built-up  Area,Ready To Move,Kachanayakanahalli,861,2.0,1.0,35.0,2,79.98948299999999,42833.0,535.482895920205,Tier 4
2469,Super built-up  Area,Ready To Move,Kachanayakanahalli,827,2.0,1.0,45.0,2,76.830781,55071.0,716.7830299681582,Tier 2
2470,Super built-up  Area,Ready To Move,Kachanayakanahalli,827,2.0,0.0,34.0,2,76.830781,41609.2,541.5694004203862,Tier 4
2472,Super built-up  Area,Ready To Move,Amblipura,1810,4.0,3.0,148.0,3,168.15443,181122.4,1077.1194074399348,Tier 1
2473,Super built-up  Area,Ready To Move,Amblipura,2950,4.0,2.0,250.0,4,274.06385,305950.0,1116.3456982743255,Tier 1
2474,Super built-up  Area,Ready To Move,Amblipura,3150,4.0,3.0,180.0,4,292.64445,220284.0,752.735956550688,Tier 2
2475,Super built-up  Area,Ready To Move,Amblipura,1175,2.0,2.0,83.0,2,109.161025,101575.4,930.5097675658506,Tier 1
2476,Built-up  Area,Ready To Move,Haralur Road,2750,4.0,0.0,220.0,4,255.48325,269236.0,1053.8303391709633,Tier 1
2477,Plot  Area,Ready To Move,Whitefield,1600,4.0,2.0,300.0,4,148.6448,367140.0,2469.914857431945,Tier 1
2478,Super built-up  Area,Ready To Move,Uttarahalli,1310,2.0,1.0,85.0,3,121.70293,104023.0,854.7288056253042,Tier 2
2479,Super built-up  Area,Ready To Move,Uttarahalli,1235,2.0,3.0,90.0,2,114.735205,110142.0,959.9669081516872,Tier 1
2481,Super built-up  Area,Ready To Move,Varthur,1090,2.0,2.0,48.0,2,101.26427,58742.399999999994,580.0900949564935,Tier 3
2482,Built-up  Area,Ready To Move,9th Phase JP Nagar,1890,2.0,2.0,85.0,3,175.58667,104023.0,592.4310769148934,Tier 3
2483,Built-up  Area,Ready To Move,9th Phase JP Nagar,5000,4.0,3.0,290.0,4,464.515,354902.0,764.0269958989484,Tier 2
2487,Plot  Area,Ready To Move,Benson Town,5000,5.0,3.0,950.0,4,464.515,1162610.0,2502.8470555310378,Tier 1
2488,Super built-up  Area,Ready To Move,Hegde Nagar,1340,2.0,2.0,72.0,2,124.49002,88113.59999999999,707.7964964581096,Tier 2
2489,Super built-up  Area,Ready To Move,Kadugodi,1614,2.0,2.0,59.0,3,149.94544199999999,72204.2,481.53647778103186,Tier 4
2490,Super built-up  Area,Ready To Move,Mico Layout,1550,2.0,2.0,65.0,3,143.99965,79547.0,552.411064888005,Tier 3
2491,Super built-up  Area,Ready To Move,Mico Layout,1125,2.0,2.0,40.0,2,104.515875,48952.0,468.36903963153924,Tier 4
